"RunID","outcome_all_blocks_alive_OUD_counts_cycle52","outcome_all_blocks_alive_OUD_counts_cycle104","outcome_all_blocks_alive_OUD_counts_cycle156","outcome_all_blocks_male_alive_OUD_counts_cycle52","outcome_all_blocks_male_alive_OUD_counts_cycle104","outcome_all_blocks_male_alive_OUD_counts_cycle156","outcome_all_blocks_accumulated_fatal_od_cycle52","outcome_all_blocks_accumulated_fatal_od_cycle104","outcome_all_blocks_accumulated_fatal_od_cycle156","outcome_Detox_accumulated_admissions_cycle52","outcome_Detox_accumulated_admissions_cycle104","outcome_Detox_accumulated_admissions_cycle156","outcome_alive_OUD_counts_Male_10_25_cycle52","outcome_alive_OUD_counts_Male_10_25_cycle104","outcome_alive_OUD_counts_Male_10_25_cycle156","outcome_alive_OUD_counts_Female_10_25_cycle52","outcome_alive_OUD_counts_Female_10_25_cycle104","outcome_alive_OUD_counts_Female_10_25_cycle156","outcome_alive_OUD_counts_Male_25_45_cycle52","outcome_alive_OUD_counts_Male_25_45_cycle104","outcome_alive_OUD_counts_Male_25_45_cycle156","outcome_alive_OUD_counts_Female_25_45_cycle52","outcome_alive_OUD_counts_Female_25_45_cycle104","outcome_alive_OUD_counts_Female_25_45_cycle156","outcome_alive_OUD_counts_Male_45_100_cycle52","outcome_alive_OUD_counts_Male_45_100_cycle104","outcome_alive_OUD_counts_Male_45_100_cycle156","outcome_alive_OUD_counts_Female_45_100_cycle52","outcome_alive_OUD_counts_Female_45_100_cycle104","outcome_alive_OUD_counts_Female_45_100_cycle156","outcome_Total_OUD_Male_10_25_cycle52","outcome_Total_OUD_Male_10_25_cycle104","outcome_Total_OUD_Male_10_25_cycle156","outcome_Total_OUD_Female_10_25_cycle52","outcome_Total_OUD_Female_10_25_cycle104","outcome_Total_OUD_Female_10_25_cycle156","outcome_Total_OUD_Male_25_45_cycle52","outcome_Total_OUD_Male_25_45_cycle104","outcome_Total_OUD_Male_25_45_cycle156","outcome_Total_OUD_Female_25_45_cycle52","outcome_Total_OUD_Female_25_45_cycle104","outcome_Total_OUD_Female_25_45_cycle156","outcome_Total_OUD_Male_45_100_cycle52","outcome_Total_OUD_Male_45_100_cycle104","outcome_Total_OUD_Male_45_100_cycle156","outcome_Total_OUD_Female_45_100_cycle52","outcome_Total_OUD_Female_45_100_cycle104","outcome_Total_OUD_Female_45_100_cycle156","outcome_Total_BgMort_cycle52","outcome_Total_BgMort_cycle104","outcome_Total_BgMort_cycle156","outcome_Total_OUD_cycle52","outcome_Total_OUD_cycle104","outcome_Total_OUD_cycle156"
1441,221269.8569,227700.4588,267629.7477,131352.1958,136746.3123,164155.4508,959.0651,1241.0105,1568.5124,40450.3913,38533.4154,39173.3512,15950.5285,21096.3829,26217.3709,8704.1637,10950.6936,11993.2595,57153.7735,59597.3714,69785.6407,36156.2816,36925.387,41211.1434,58247.8938,56052.558,68152.4392,45057.2158,43078.0659,50269.8939,16055.1116416118,21247.5001646295,26365.2000381653,8760.98357391407,11030.6621704095,12072.3866988678,57692.4086913622,60299.1994772951,70573.6849793792,36421.0437449475,37202.275268919,41570.7118345042,61145.0976831959,58684.6550761508,71321.4931775691,47588.6229403733,45216.0381111629,52627.5963100078,5434.34624963022,4738.86093930511,5332.81300509534,227663.268275405,233680.330268567,274531.073038493
9381,216022.0869,219154.1284,267917.8235,127565.8542,130602.451,163955.086,988.3734,1227.6767,1427.4457,40714.903,45090.9728,38110.9972,13571.583,17296.5546,27025.3875,7691.3401,9312.2385,12093.0193,55821.7437,57433.9008,68748.505,35736.4967,36223.559,41602.9183,58172.5276,55871.9955,68181.1935,45028.3958,43015.8799,50266.7999,13669.8961448546,17432.9701936795,27164.6444966705,7746.83454641036,9387.3113325226,12168.6536839386,56366.765051658,58114.6966518649,69466.6450390573,36007.3478011261,36499.0053821541,41940.5771084805,61071.8973239989,58490.9177976994,71285.0964718079,47559.9717226696,45144.1740957685,52585.9875546972,5412.25230832675,4687.27050123191,5266.33516912849,222422.712590718,225069.075453689,274611.604354652
9557,222807.505,228164.2742,269143.7718,132462.1494,137092.802,165211.3039,953.8021,1317.7902,1521.5357,36314.9627,40574.6443,35837.0904,16647.7803,21361.1799,26625.2624,9000.7486,11056.4638,12183.8999,57543.5554,59704.5262,70407.7349,36277.877,36950.4706,41481.7783,58270.8137,56027.0959,68178.3066,45066.73,43064.5378,50266.7897,16754.3520084599,21521.8055554784,26769.4865403544,9058.28741447663,11141.4835353038,12260.1037428526,58081.0292357011,60437.8290527217,71186.9239502097,36542.3212603851,37240.3514392616,41839.5193412707,61166.5567782868,58672.7012636883,71331.5027277985,47597.0222287734,45212.8708350467,52620.1476848253,5438.2618329806,4744.97732007484,5342.37646468459,229199.568926083,234227.041681501,276007.683987311
35910,209757.023,215065.3573,269087.9167,123045.0696,127648.4366,164546.8456,943.9413,1203.6791,1428.4455,38408.1448,37526.0029,36069.105,10720.3383,15398.5842,27825.9065,6476.4528,8513.4304,12222.6158,54239.9379,56404.1094,68474.7683,35242.4782,35908.5555,42043.1305,58084.7934,55845.743,68246.1709,44993.0224,42994.9347,50275.3247,10805.8952210707,15513.0057226779,27953.3628570589,6529.11497103933,8581.45422778727,12293.4043564882,54775.0239818209,57085.9000185432,69194.5381009297,35510.6105252291,36188.8868324345,42390.805664521,60984.0033318808,58479.972280553,71377.640191535,47525.5693120992,45136.7238217702,52616.4268330134,5429.25303580185,4716.90662097806,5309.81579593509,216130.21734314,220985.942903766,275826.178003546
41625,210255.2058,219412.9089,270201.7385,123393.257,130732.266,165436.3681,913.3579,1179.4708,1451.3203,38168.6183,39382.8747,41669.1389,10926.9808,17227.4827,27772.4541,6566.0334,9317.1034,12261.6973,54359.0798,57480.5195,69255.2636,35284.9863,36277.7425,42099.1571,58107.1963,56024.2637,68408.6503,45010.929,43085.7971,50404.5161,11012.1268778448,17346.2743691321,27904.6923528793,6616.80083006788,9385.47020484927,12333.3807998891,54889.6425049495,58170.958177069,70012.5160853367,35546.3797387101,36552.6050093142,42449.6981639875,60990.3323828036,58636.498678624,71527.4080550998,47528.0465827349,45203.4025341369,52726.9672278816,5414.76545584056,4702.82923352455,5301.60390130905,216583.328917111,225295.208973125,276954.662685074
47038,228189.19,237974.1304,270410.6844,136340.7004,144119.884,166481.1385,954.9218,1223.5335,1460.5796,40386.2302,41671.8653,38726.614,19079.1462,25613.6809,26022.9264,10034.2349,12892.0096,12174.6836,58897.6809,62180.0665,72018.9854,36700.4232,37748.4328,41290.2937,58363.8733,56326.1366,68439.2267,45113.8315,43213.8041,50464.5687,19193.8418899127,25785.4060968121,26175.8458061569,10095.5129290481,12979.7109285997,12254.4644908283,59436.8375525226,62879.9645114637,72787.2515253847,36965.4306114296,38024.7092660921,41638.7707885056,61241.4228980531,58916.8372688247,71517.3511199038,47626.3254704443,45314.9093206566,52764.3835764351,5415.25955347954,4703.87336599966,5266.80323885381,234559.37135141,243901.537392449,277138.067307214
47218,222482.852,223837.19,267116.4467,132228.7543,133990.1581,163659.3101,974.2048,1182.2795,1468.7977,39260.1142,45223.3464,34799.5635,16503.9912,19453.8138,26318.9177,8940.4297,10224.0893,12012.297,57459.9408,58624.3364,69238.064,36249.9335,36590.4249,41216.4557,58264.8223,55912.0079,68102.3285,45063.7345,43032.5177,50228.3839,16608.9516368972,19595.0973051114,26457.7312559675,8996.46594941465,10298.0835000029,12086.5684422011,58000.2194327915,59295.4886058359,69979.2458449762,36517.1026367413,36860.3346933929,41563.2434850318,61162.0945579103,58519.6990668016,71218.1763506817,47595.2756697706,45156.4170071718,52559.6647185187,5423.05311110854,4705.65071185483,5279.38563382658,228880.109883526,229725.120178316,273864.630097377
53476,227682.3747,229828.9145,270359.1805,135969.9691,138284.7868,166093.9342,929.9616,1228.7636,1463.2883,42396.2635,41760.1272,37770.2925,18838.3384,22115.5888,26692.9648,9932.9684,11360.6994,12322.084,58768.8724,60108.7282,71116.8876,36662.4119,37063.2487,41588.2497,58362.7582,56060.4698,68284.0818,45117.0253,43120.1796,50354.9126,18948.5019723009,22273.5152660352,26835.883484425,9991.19900725859,11441.7424723977,12397.4412892902,59300.48361188,60808.7349516664,71868.01210678,36922.8784322497,37340.7568345629,41934.3897881689,61233.8936232104,58646.0056470957,71355.5402019929,47623.3783515515,45220.0243561326,52652.0827918024,5407.99877341355,4673.10142650648,5220.88081595487,234020.334998451,235730.77952789,277043.349662459
54115,208342.9309,218224.8843,266607.7005,122017.7722,129884.0737,162977.6803,916.2432,1226.7386,1508.49,39422.2321,39732.771,41645.1398,10061.722,16692.5559,26832.7725,6197.3462,9091.4094,11857.3265,53880.3884,57188.7606,67878.5947,35133.664,36184.7496,41435.8601,58075.6617,56002.7572,68266.3131,44994.1485,43064.6515,50336.8336,10143.07094095,16809.7055912393,26962.1852133918,6247.29449631558,9161.14780159358,11929.4344314611,54406.6425819838,57887.4481999785,68636.385244964,35395.6491169257,36466.1892623454,41792.5412227651,60963.6616771538,58632.0662223946,71412.9172809425,47517.6074031478,45196.4774091586,52675.6947317686,5414.75225131505,4701.41163751862,5292.96762980293,214673.926216477,224153.03448671,273409.158125293
59136,218217.1313,227585.1167,266988.6326,129141.8755,136634.9184,163690.2788,883.7174,1164.9375,1436.7157,37281.7733,43515.199,40744.0982,14541.674,20929.6461,26014.1225,8105.1025,10897.2263,11854.9818,56384.2993,59574.8345,69406.9406,35920.4235,36938.8342,41095.9304,58215.9022,56130.4378,68269.2156,45049.7298,43114.1378,50347.4416,14634.777472228,21065.1712819571,26148.9130488826,8157.08403903044,10970.3068436019,11927.3005088808,56903.0220916378,60258.0556644522,70159.3355510976,36174.6985461782,37208.6194127005,41440.6626673678,61101.5087268626,58753.7965081143,71403.3549825915,47571.5619472257,45245.327664385,52687.2994301438,5441.80416869201,4751.2231695615,5341.51803231476,224542.652823163,233501.277375211,273766.866188964
